epoch,step_num,score,agent_lr,agent_er,ma_loss
1.0,70.0,-5.0,9.900000000000001e-05,0.95,0.0077185245862762845
2.0,38.0,-5.0,9.801e-05,0.9025,0.006133616991401477
3.0,113.0,-5.0,9.70299e-05,0.8573749999999999,0.0034626784681677236
4.0,32.0,-5.0,9.6059601e-05,0.8145062499999999,0.003160837579798681
5.0,27.0,-5.0,9.509900499e-05,0.7737809374999998,0.0032740239917075087
6.0,90.0,-5.0,9.41480149401e-05,0.7350918906249998,0.0029938005368421727
7.0,51.0,-5.0,9.320653479069899e-05,0.6983372960937497,0.0023130669001147908
8.0,158.0,-5.0,9.227446944279202e-05,0.6634204312890623,0.0020699732981483976
9.0,77.0,-5.0,9.135172474836409e-05,0.6302494097246091,0.002748560571035341
10.0,93.0,-5.0,9.043820750088044e-05,0.5987369392383787,0.002135957675818645
11.0,76.0,-5.0,8.953382542587164e-05,0.5688000922764597,0.0017871506825031247
12.0,83.0,-5.0,8.863848717161293e-05,0.5403600876626367,0.0016963259195108549
13.0,48.0,-5.0,8.77521022998968e-05,0.5133420832795048,0.002393445433881425
14.0,55.0,-5.0,8.687458127689783e-05,0.48767497911552954,0.0025854467103272327
15.0,25.0,-5.0,8.600583546412884e-05,0.46329123015975304,0.0026893271979133715
16.0,124.0,-5.0,8.514577710948756e-05,0.44012666865176536,0.0020226445926709857
17.0,40.0,-5.0,8.429431933839267e-05,0.4181203352191771,0.002752872067503631
18.0,46.0,-5.0,8.345137614500875e-05,0.3972143184582182,0.002959766166895861
19.0,48.0,-5.0,8.261686238355867e-05,0.37735360253530725,0.002938270456979808
20.0,100.0,-5.0,8.179069375972308e-05,0.3584859224085419,0.0023194939731183695
21.0,46.0,-5.0,8.097278682212584e-05,0.3405616262881148,0.002984976793413807
22.0,94.0,-5.0,8.01630589539046e-05,0.323533544973709,0.0031110195432120236
23.0,151.0,-5.0,7.936142836436555e-05,0.3073568677250236,0.0023634225035493728
24.0,58.0,-5.0,7.856781408072188e-05,0.2919890243387724,0.002323117548257869
25.0,88.0,-5.0,7.778213593991467e-05,0.27738957312183377,0.0035766420087384176
26.0,153.0,5.0,7.700431458051551e-05,0.26352009446574204,0.002800799160013412
27.0,154.0,-5.0,7.623427143471036e-05,0.2503440897424549,0.0025475130041741068
28.0,228.0,-5.0,7.547192872036326e-05,0.23782688525533216,0.0026159763410760206
29.0,259.0,5.0,7.471720943315961e-05,0.22593554099256555,0.0032499322269359254
30.0,251.0,5.0,7.397003733882802e-05,0.21463876394293727,0.0026975803384630126
31.0,105.0,5.0,7.323033696543975e-05,0.2039068257457904,0.002574335620920465
32.0,421.0,-5.0,7.249803359578534e-05,0.19371148445850087,0.002472061898515676
33.0,168.0,5.0,7.177305325982749e-05,0.18402591023557582,0.004168939090959611
34.0,52.0,5.0,7.105532272722921e-05,0.174824614723797,0.0036041126932104817
35.0,100.0,5.0,7.034476949995692e-05,0.16608338398760716,0.0033450583769081277
36.0,127.0,5.0,6.964132180495735e-05,0.1577792147882268,0.0030782290687056957
37.0,36.0,5.0,6.894490858690777e-05,0.14989025404881545,0.00435881590237841
38.0,75.0,5.0,6.82554595010387e-05,0.14239574134637467,0.005333080051059369
39.0,67.0,5.0,6.75729049060283e-05,0.13527595427905592,0.004137889481171442
40.0,64.0,5.0,6.689717585696803e-05,0.12851215656510312,0.0037014950867160223
41.0,112.0,5.0,6.622820409839836e-05,0.12208654873684796,0.004783874800523336
42.0,94.0,5.0,6.556592205741436e-05,0.11598222130000556,0.0039136651321314275
43.0,48.0,5.0,6.491026283684022e-05,0.11018311023500528,0.003619898096076213
44.0,39.0,5.0,6.426116020847181e-05,0.10467395472325501,0.0036134893216512864
