epoch,step_num,score,agent_lr,agent_er,ma_loss,time
0.0,83.0,-5.0,0.0001,1.0,0.010417930366673383,26.45083975791931
1.0,68.0,-5.0,9.900000000000001e-05,0.95,0.005775685474873171,19.249804258346558
2.0,49.0,-5.0,9.801e-05,0.9025,0.004294223897886695,16.775373458862305
3.0,62.0,-5.0,9.70299e-05,0.8573749999999999,0.0028779023359675193,22.340319633483887
4.0,56.0,-5.0,9.6059601e-05,0.8145062499999999,0.0023856999905547127,18.345932483673096
5.0,51.0,-5.0,9.509900499e-05,0.7737809374999998,0.002992095798617811,19.56058669090271
6.0,87.0,-5.0,9.41480149401e-05,0.7350918906249998,0.0028039096969223465,26.841833353042603
7.0,79.0,-5.0,9.320653479069899e-05,0.6983372960937497,0.002196553445628524,23.473806619644165
8.0,96.0,-5.0,9.227446944279202e-05,0.6634204312890623,0.0018172539262195642,33.82502818107605
9.0,157.0,-5.0,9.135172474836409e-05,0.6302494097246091,0.002294207363320311,60.529502153396606
10.0,57.0,-5.0,9.043820750088044e-05,0.5987369392383787,0.0019844136418214475,22.023099422454834
11.0,61.0,-5.0,8.953382542587164e-05,0.5688000922764597,0.001808288111078582,22.500385761260986
12.0,40.0,-5.0,8.863848717161293e-05,0.5403600876626367,0.0018085566480294801,13.957472324371338
13.0,156.0,-5.0,8.77521022998968e-05,0.5133420832795048,0.0023577984038638533,58.398967027664185
14.0,37.0,-5.0,8.687458127689783e-05,0.48767497911552954,0.002116324709277251,14.139711618423462
15.0,38.0,-5.0,8.600583546412884e-05,0.46329123015975304,0.0019360769406375766,14.22216248512268
16.0,68.0,-5.0,8.514577710948756e-05,0.44012666865176536,0.0018025756412498595,26.843769073486328
17.0,159.0,-5.0,8.429431933839267e-05,0.4181203352191771,0.00255175363872695,108.0464346408844
18.0,110.0,-5.0,8.345137614500875e-05,0.3972143184582182,0.0021563917471212335,64.11679768562317
19.0,108.0,-5.0,8.261686238355867e-05,0.37735360253530725,0.0020019017752019863,39.501840591430664
20.0,221.0,-5.0,8.179069375972308e-05,0.3584859224085419,0.0019388502992114809,134.49527096748352
21.0,168.0,-5.0,8.097278682212584e-05,0.3405616262881148,0.002936630124168005,67.27660417556763
22.0,239.0,5.0,8.01630589539046e-05,0.323533544973709,0.0022840370465928572,97.65295386314392
23.0,287.0,-5.0,7.936142836436555e-05,0.3073568677250236,0.002247921476737247,144.84599375724792
24.0,105.0,-5.0,7.856781408072188e-05,0.2919890243387724,0.001966769771570398,48.58917021751404
25.0,53.0,5.0,7.778213593991467e-05,0.27738957312183377,0.003347738028423919,28.29488229751587
26.0,287.0,5.0,7.700431458051551e-05,0.26352009446574204,0.002540262064030685,184.050124168396
27.0,183.0,5.0,7.623427143471036e-05,0.2503440897424549,0.0023478519451600732,74.31215691566467
28.0,111.0,5.0,7.547192872036326e-05,0.23782688525533216,0.002264252014356316,37.16154885292053
29.0,269.0,5.0,7.471720943315961e-05,0.22593554099256555,0.003127370771835558,140.30029129981995
30.0,187.0,5.0,7.397003733882802e-05,0.21463876394293727,0.0027220083538850304,102.99927139282227
31.0,114.0,5.0,7.323033696543975e-05,0.2039068257457904,0.002614591648125497,83.0949854850769
32.0,33.0,5.0,7.249803359578534e-05,0.19371148445850087,0.0026727861531981034,17.62504243850708
33.0,56.0,5.0,7.177305325982749e-05,0.18402591023557582,0.004254662349012506,25.469672441482544
34.0,91.0,5.0,7.105532272722921e-05,0.174824614723797,0.004047812872158829,33.481637954711914
35.0,42.0,5.0,7.034476949995692e-05,0.16608338398760716,0.003346854864503257,14.8741455078125
36.0,62.0,5.0,6.964132180495735e-05,0.1577792147882268,0.0030639310480182758,25.2517249584198
37.0,60.0,5.0,6.894490858690777e-05,0.14989025404881545,0.004169576915046491,26.199048280715942
38.0,43.0,5.0,6.82554595010387e-05,0.14239574134637467,0.004549140438030008,20.3631808757782
39.0,69.0,5.0,6.75729049060283e-05,0.13527595427905592,0.0038171159367266227,33.41668343544006
40.0,44.0,5.0,6.689717585696803e-05,0.12851215656510312,0.003402139555873873,22.3452627658844
41.0,39.0,5.0,6.622820409839836e-05,0.12208654873684796,0.003928233197257214,19.600778579711914
42.0,54.0,5.0,6.556592205741436e-05,0.11598222130000556,0.004204174612823408,24.859302759170532
43.0,46.0,5.0,6.491026283684022e-05,0.11018311023500528,0.004169833675405243,20.634623527526855
44.0,47.0,5.0,6.426116020847181e-05,0.10467395472325501,0.003664724239570205,25.828640937805176
45.0,30.0,5.0,6.36185486063871e-05,0.09944025698709225,0.004067094487254508,11.832205057144165
46.0,35.0,5.0,6.298236312032323e-05,0.09446824413773763,0.004308736673920066,27.915330410003662
47.0,54.0,5.0,6.235253948912e-05,0.08974483193085075,0.004609717734638252,43.98811316490173
48.0,55.0,5.0,6.17290140942288e-05,0.0852575903343082,0.004126916495806654,53.86369562149048
