epoch,step_num,score,agent_lr,agent_er,ma_loss
0.0,91.0,-5.0,0.0001,1.0,0.008167230571456418
1.0,71.0,-5.0,9.900000000000001e-05,0.95,0.005034189921389043
2.0,52.0,-5.0,9.801e-05,0.9025,0.003912556046998361
3.0,38.0,-5.0,9.70299e-05,0.8573749999999999,0.002903541403611598
4.0,107.0,-5.0,9.6059601e-05,0.8145062499999999,0.0021819694934492873
5.0,74.0,-5.0,9.509900499e-05,0.7737809374999998,0.002576720080924133
6.0,31.0,-5.0,9.41480149401e-05,0.7350918906249998,0.002627708516229177
7.0,35.0,-5.0,9.320653479069899e-05,0.6983372960937497,0.002259841221075476
8.0,33.0,-5.0,9.227446944279202e-05,0.6634204312890623,0.0018502250691199151
9.0,71.0,-5.0,9.135172474836409e-05,0.6302494097246091,0.0025362764927194803
10.0,58.0,-5.0,9.043820750088044e-05,0.5987369392383787,0.0027691963559846045
11.0,45.0,-5.0,8.953382542587164e-05,0.5688000922764597,0.0020321841561781184
12.0,45.0,-5.0,8.863848717161293e-05,0.5403600876626367,0.0017793010219975258
13.0,52.0,-5.0,8.77521022998968e-05,0.5133420832795048,0.0022671845813420077
14.0,59.0,-5.0,8.687458127689783e-05,0.48767497911552954,0.002530573669446312
15.0,79.0,-5.0,8.600583546412884e-05,0.46329123015975304,0.0019271167570877878
16.0,49.0,-5.0,8.514577710948756e-05,0.44012666865176536,0.0018103154548043676
17.0,194.0,-5.0,8.429431933839267e-05,0.4181203352191771,0.0023891191613074625
18.0,54.0,-5.0,8.345137614500875e-05,0.3972143184582182,0.00240511067204352
19.0,93.0,-5.0,8.261686238355867e-05,0.37735360253530725,0.0023103360244931537
20.0,42.0,-5.0,8.179069375972308e-05,0.3584859224085419,0.0021739053718192736
21.0,62.0,-5.0,8.097278682212584e-05,0.3405616262881148,0.0031754297351653804
22.0,48.0,-5.0,8.01630589539046e-05,0.323533544973709,0.0035890076469513588
23.0,252.0,-5.0,7.936142836436555e-05,0.3073568677250236,0.002550751492890413
24.0,89.0,-5.0,7.856781408072188e-05,0.2919890243387724,0.002380682254624844
25.0,32.0,-5.0,7.778213593991467e-05,0.27738957312183377,0.0031305071815950214
26.0,59.0,-5.0,7.700431458051551e-05,0.26352009446574204,0.003670875878924562
27.0,136.0,-5.0,7.623427143471036e-05,0.2503440897424549,0.0030146380568112363
28.0,172.0,-5.0,7.547192872036326e-05,0.23782688525533216,0.0027034860731873778
29.0,40.0,-5.0,7.471720943315961e-05,0.22593554099256555,0.003469046237114526
30.0,46.0,-5.0,7.397003733882802e-05,0.21463876394293727,0.0039519760002804105
31.0,48.0,5.0,7.323033696543975e-05,0.2039068257457904,0.004025734803690284
32.0,164.0,-5.0,7.249803359578534e-05,0.19371148445850087,0.003036566368791682
33.0,51.0,5.0,7.177305325982749e-05,0.18402591023557582,0.003852636369629181
34.0,75.0,5.0,7.105532272722921e-05,0.174824614723797,0.004217609517581877
35.0,84.0,5.0,7.034476949995692e-05,0.16608338398760716,0.003140427868856932
36.0,55.0,-5.0,6.964132180495735e-05,0.1577792147882268,0.0030203726219042437
37.0,122.0,5.0,6.894490858690777e-05,0.14989025404881545,0.004558397580694873
38.0,61.0,5.0,6.82554595010387e-05,0.14239574134637467,0.003914492095645983
39.0,66.0,5.0,6.75729049060283e-05,0.13527595427905592,0.003464428735242109
40.0,99.0,5.0,6.689717585696803e-05,0.12851215656510312,0.0032137439420694136
