epoch,step_num,score,agent_lr,agent_er,ma_loss,time
0.0,198.0,-5.0,0.0001,1.0,0.004249337023793487,96.73955154418945
1.0,99.0,-5.0,9.900000000000001e-05,0.95,0.004695501331298146,26.080267429351807
2.0,35.0,-5.0,9.801e-05,0.9025,0.0047866694985714275,10.075750827789307
3.0,127.0,-5.0,9.70299e-05,0.8573749999999999,0.0041855670206132345,35.775062799453735
4.0,63.0,-5.0,9.6059601e-05,0.8145062499999999,0.0034334078773099463,16.869908332824707
5.0,43.0,-5.0,9.509900499e-05,0.7737809374999998,0.008488065606798045,12.73233413696289
6.0,50.0,-5.0,9.41480149401e-05,0.7350918906249998,0.005908359780733008,14.880770921707153
7.0,35.0,-5.0,9.320653479069899e-05,0.6983372960937497,0.005042696371674538,10.53287959098816
8.0,67.0,-5.0,9.227446944279202e-05,0.6634204312890623,0.00492328875043313,21.37562847137451
9.0,51.0,-5.0,9.135172474836409e-05,0.6302494097246091,0.005649852340866346,16.72437620162964
10.0,40.0,-5.0,9.043820750088044e-05,0.5987369392383787,0.006437460076995194,16.68508791923523
11.0,240.0,-5.0,8.953382542587164e-05,0.5688000922764597,0.004263155220542103,120.57099962234497
12.0,75.0,-5.0,8.863848717161293e-05,0.5403600876626367,0.005450822165585123,30.77771520614624
13.0,71.0,-5.0,8.77521022998968e-05,0.5133420832795048,0.007061043696012348,23.834304094314575
14.0,96.0,-5.0,8.687458127689783e-05,0.48767497911552954,0.005196315818466246,33.98190402984619
15.0,45.0,-5.0,8.600583546412884e-05,0.46329123015975304,0.00518159251078032,14.246138095855713
16.0,41.0,-5.0,8.514577710948756e-05,0.44012666865176536,0.004993143535102718,13.825878858566284
17.0,90.0,-5.0,8.429431933839267e-05,0.4181203352191771,0.005956894878181629,35.7347776889801
18.0,59.0,-5.0,8.345137614500875e-05,0.3972143184582182,0.005056193291238742,28.071067333221436
19.0,37.0,-5.0,8.261686238355867e-05,0.37735360253530725,0.005429793724033516,24.67081904411316
20.0,117.0,-5.0,8.179069375972308e-05,0.3584859224085419,0.004481597468839027,72.21941876411438
21.0,128.0,-5.0,8.097278682212584e-05,0.3405616262881148,0.006114276700827759,46.11279892921448
22.0,266.0,-5.0,8.01630589539046e-05,0.323533544973709,0.004732334840809926,101.48156690597534
23.0,80.0,-5.0,7.936142836436555e-05,0.3073568677250236,0.004755158690386452,29.35527777671814
24.0,201.0,-5.0,7.856781408072188e-05,0.2919890243387724,0.0046289835663628764,79.76158285140991
25.0,134.0,-5.0,7.778213593991467e-05,0.27738957312183377,0.0072441330485162325,58.69413685798645
26.0,57.0,5.0,7.700431458051551e-05,0.26352009446574204,0.0059143206890439615,23.091113328933716
27.0,111.0,-5.0,7.623427143471036e-05,0.2503440897424549,0.005350958337658085,47.01885485649109
28.0,114.0,5.0,7.547192872036326e-05,0.23782688525533216,0.005219964376010466,45.49672865867615
29.0,142.0,-5.0,7.471720943315961e-05,0.22593554099256555,0.0064338641095673665,67.73655819892883
30.0,289.0,-5.0,7.397003733882802e-05,0.21463876394293727,0.006136711032013409,156.63651514053345
